Date,Open,High,Low,Close,Adj Close,Volume
2022-08-11,328.118713,332.137726,324.523590,325.820496,325.820496,127241
2022-08-12,325.820496,332.716736,306.463501,322.763184,322.763184,153239
2022-08-13,322.763184,334.079590,320.849121,323.985596,323.985596,133483
2022-08-14,323.985596,327.329224,317.166107,319.416931,319.416931,98054
2022-08-15,319.416931,323.713898,306.184204,312.768799,312.768799,146436
2022-08-16,312.768799,320.288483,309.025360,309.803711,309.803711,114613
2022-08-17,309.803711,313.777466,277.945343,277.945343,277.945343,113880
2022-08-18,277.945343,304.193085,277.945343,299.012939,299.012939,139192
2022-08-19,299.023407,299.033478,283.119507,285.184570,285.184570,105326
2022-08-20,284.592957,292.429108,276.009766,288.934937,288.934937,125843
2022-08-21,288.934937,289.085815,276.246490,280.329620,280.329620,103187
2022-08-22,280.329620,288.425262,279.242737,281.114044,281.114044,136521
2022-08-23,281.114044,291.481995,279.802307,285.806122,285.806122,156923
2022-08-24,285.781952,293.015869,285.781616,289.541595,289.541595,135118
2022-08-25,289.541595,297.804352,289.275330,297.804352,297.804352,109549
2022-08-26,297.804352,310.614716,295.547180,302.868744,302.868744,144971
2022-08-27,302.868744,306.079071,296.876648,300.029327,300.029327,145592
2022-08-28,300.029327,303.875061,292.862549,296.528412,296.528412,130394
2022-08-29,296.528503,305.258392,293.048492,297.183563,297.183563,170461
2022-08-30,297.183563,303.359436,297.183441,301.346375,301.346375,180966
2022-08-31,301.346375,311.141205,297.035400,306.489319,306.489319,225849
2022-09-01,306.489319,310.545807,303.828156,307.615234,307.615234,172444
2022-09-02,307.615234,315.980682,307.614685,315.319183,315.319183,154247
2022-09-03,315.319183,320.547699,310.943939,310.989471,310.989471,109263
2022-09-04,310.989471,317.475616,307.668182,311.194763,311.194763,96019
2022-09-05,311.194702,311.376221,301.527405,306.393158,306.393158,116835
2022-09-06,306.393127,315.523834,304.796417,311.526398,311.526398,187868
2022-09-07,311.524078,314.724518,310.645447,314.267975,314.267975,110147
2022-09-08,314.267975,315.497528,310.895844,310.962708,310.962708,156898
2022-09-09,310.962708,316.947144,310.962585,315.318390,315.318390,172504
2022-09-10,315.318390,330.408173,315.318390,321.088989,321.088989,192391
2022-09-11,321.088989,330.258911,320.843903,320.844147,320.844147,112317
2022-09-12,320.844147,326.948639,320.187317,322.961334,322.961334,137717
2022-09-13,322.961273,329.597443,321.308441,327.232513,327.232513,198074
2022-09-14,324.560638,335.958557,324.560638,333.744720,333.744720,252437
2022-09-15,333.744720,361.823120,333.605835,349.342194,349.342194,211496
2022-09-16,349.342194,415.434418,348.806793,410.021027,410.021027,282929
2022-09-17,410.021027,426.021790,375.886200,394.820801,394.820801,194478
2022-09-18,394.820801,399.154602,383.020172,383.692871,383.692871,134085
2022-09-19,383.692871,397.517792,378.292297,385.738586,385.738586,157519
2022-09-20,385.738617,393.517395,380.529266,387.636353,387.636353,178377
2022-09-21,387.633209,395.791290,383.712646,383.712646,383.712646,174367
2022-09-22,383.724487,396.439362,383.712646,391.740997,391.740997,191341
2022-09-23,391.740997,398.921051,391.048309,391.048309,391.048309,186616
2022-09-24,391.048309,396.297882,389.879303,390.673462,390.673462,165127
2022-09-25,390.673462,391.401337,384.122620,384.122620,384.122620,122066
2022-09-26,384.122620,389.013702,383.310455,384.590424,384.590424,168137
2022-09-27,384.590729,389.588959,382.197479,383.564575,383.564575,147082
2022-09-28,383.550049,386.465271,381.130615,383.262848,383.262848,184242
2022-09-29,383.262848,387.980316,381.420288,385.127991,385.127991,181707
2022-09-30,385.127991,387.695343,381.813110,382.597809,382.597809,177174
2022-10-01,382.738464,384.874207,381.005463,381.261627,381.261627,160626
2022-10-02,381.261627,383.873352,380.286041,380.626770,380.626770,119355
2022-10-03,380.626770,383.706848,366.149048,379.820374,379.820374,233323
2022-10-04,379.820374,384.575500,374.852356,382.600250,382.600250,218963
2022-10-05,382.600250,385.855225,381.264130,381.884277,381.884277,178534
2022-10-06,381.884277,384.049438,379.405029,379.603729,379.603729,132898
2022-10-07,379.603729,386.014343,378.466125,381.591675,381.591675,237814
2022-10-08,381.591675,382.519653,377.745941,379.969391,379.969391,140530
2022-10-09,379.969391,381.735168,378.007294,378.530396,378.530396,107567
2022-10-10,378.530396,380.915924,374.533142,374.539001,374.539001,237985
2022-10-11,374.539001,379.466278,371.169617,376.982330,376.982330,193660
2022-10-12,376.982330,379.415649,372.912323,378.436920,378.436920,207441
2022-10-13,378.436920,379.741882,374.145630,376.094086,376.094086,192703
2022-10-14,376.094086,408.297760,376.094086,391.075897,391.075897,381841
2022-10-15,391.088531,397.100189,387.792938,392.959991,392.959991,182040
2022-10-16,392.959991,394.223389,388.605347,389.719879,389.719879,140263
2022-10-17,389.719879,396.432251,389.074127,393.449615,393.449615,213999
2022-10-18,393.449615,400.582153,390.953796,397.481964,397.481964,236976
2022-10-19,397.481964,399.321228,391.474945,391.638336,391.638336,211920
2022-10-20,391.638336,397.941101,391.464050,393.501038,393.501038,177650
2022-10-21,393.501038,396.699127,389.902283,395.778137,395.778137,143730
2022-10-22,395.836884,396.789612,389.838562,392.606110,392.606110,173212
2022-10-23,392.606110,395.824188,389.394989,389.404236,389.404236,124772
2022-10-24,389.404236,444.669281,206.467072,365.842865,365.842865,246160
2022-10-25,365.840973,471.900848,338.863708,403.407501,403.407501,228675
2022-10-26,403.406036,439.956299,385.211761,397.647339,397.647339,174663
2022-10-27,397.462769,441.274323,373.612457,393.922516,393.922516,265534
2022-10-28,393.941284,395.394287,372.532990,373.208923,373.208923,154885
2022-10-29,373.210144,384.680420,372.643250,377.585449,377.585449,168631
2022-10-30,377.585419,388.550110,370.334625,370.364838,370.364838,181365
2022-10-31,370.365967,378.874725,368.914215,369.828308,369.828308,220058
2022-11-01,369.808990,370.792908,367.937958,368.867310,368.867310,218901
2022-11-02,368.860657,390.598785,367.584747,373.571228,373.571228,215520
2022-11-03,373.568573,378.642090,369.238159,369.341034,369.341034,330379
2022-11-04,369.458038,467.329224,265.141632,367.536743,367.536743,189257
2022-11-05,367.506592,368.771423,365.363647,367.620178,367.620178,162819
2022-11-06,367.620636,368.796417,359.419250,359.838043,359.838043,101783
2022-11-07,359.840057,383.033661,339.865784,342.184418,342.184418,203035
2022-11-08,342.184540,382.790314,340.564148,370.590149,370.590149,206133
2022-11-09,370.592255,371.817535,368.467407,369.725647,369.725647,193973
2022-11-10,369.731628,468.043732,339.990936,466.274567,466.274567,235473
2022-11-11,466.269775,468.806122,342.439911,372.091919,372.091919,320582
2022-11-12,372.088257,384.267029,370.476776,371.297638,371.297638,189406
2022-11-13,371.297821,378.573822,370.805084,372.689728,372.689728,149785
2022-11-14,372.688934,377.522980,298.993683,298.996429,298.996429,255204
2022-11-15,298.997559,383.669586,298.995056,382.026794,382.026794,227002
2022-11-16,382.026794,386.450134,381.175598,383.247040,383.247040,290642
2022-11-17,383.363892,392.539978,281.424347,282.336761,282.336761,394050
2022-11-18,282.335419,483.899048,281.003937,479.459991,479.459991,369316
2022-11-19,479.459229,487.692474,477.622040,480.225494,480.225494,274929
2022-11-20,480.221771,481.248413,477.737518,478.449005,478.449005,215695
2022-11-21,478.452240,528.120667,477.348175,480.564911,480.564911,259412
2022-11-22,480.562897,482.538635,454.553589,465.066467,465.066467,263373
2022-11-23,465.068634,590.669006,405.300873,427.730377,427.730377,1140114
2022-11-24,427.732239,429.049133,363.048340,364.454498,364.454498,300936
2022-11-25,364.454498,413.304962,337.703186,339.047546,339.047546,228728
2022-11-26,339.047485,407.225983,337.138947,339.101349,339.101349,145286
2022-11-27,339.100403,395.967010,332.740753,332.761902,332.761902,187032
2022-11-28,332.761353,352.947052,299.499420,345.448059,345.448059,415174
2022-11-29,345.448090,354.132172,306.565033,351.974030,351.974030,232520
2022-11-30,351.972046,354.059326,289.880524,307.367035,307.367035,201232
2022-12-01,307.368927,312.093872,306.946625,311.182434,311.182434,239911
2022-12-02,311.192169,311.640381,292.313324,309.084412,309.084412,216391
2022-12-03,309.082947,309.712067,299.695679,301.554077,301.554077,214711
2022-12-04,301.554169,301.556488,294.327454,294.450653,294.450653,164305
2022-12-05,294.451385,307.619049,275.402161,302.222809,302.222809,329570
2022-12-06,302.225952,304.518799,253.711319,297.636230,297.636230,228648
2022-12-07,297.634613,300.644318,231.037430,300.149200,300.149200,191550
2022-12-08,300.151123,300.223846,294.800934,297.296387,297.296387,209117
2022-12-09,297.295410,300.249115,233.065994,279.932007,279.932007,221485
2022-12-10,279.932587,301.114838,251.241974,251.242950,251.242950,232429
2022-12-11,251.241943,340.395325,234.535858,274.212830,274.212830,112468
2022-12-12,274.213867,275.570160,235.173889,269.125580,269.125580,243091
2022-12-13,269.126099,289.754242,238.215729,283.303314,283.303314,188582
2022-12-14,283.304779,283.305359,269.213593,276.162567,276.162567,182088
2022-12-15,276.162872,333.701111,235.493790,237.667465,237.667465,206070
2022-12-16,237.649307,282.057281,237.648834,281.042633,281.042633,211883
2022-12-17,281.042114,286.270569,273.585083,274.604340,274.604340,150467
2022-12-18,274.602264,275.961761,234.978058,235.807999,235.807999,94323
2022-12-19,235.807297,275.463318,232.542435,263.257111,263.257111,223617
2022-12-20,263.256989,265.629974,254.956635,259.094940,259.094940,266434
2022-12-21,259.092804,267.675995,258.229645,264.697418,264.697418,221356
2022-12-22,264.697449,268.283752,259.556824,259.712067,259.712067,226289
2022-12-23,259.711182,266.151886,258.877441,264.356171,264.356171,200367
2022-12-24,264.356171,266.013062,231.424652,231.431259,231.431259,170209
2022-12-25,231.430878,261.768005,229.638275,259.971130,259.971130,179267
2022-12-26,259.971130,287.729462,256.723511,256.828278,256.828278,223230
2022-12-27,256.824280,257.960388,230.483444,251.455811,251.455811,198872
2022-12-28,251.456329,252.082809,240.715057,241.324463,241.324463,185078
2022-12-29,241.323700,243.954880,239.902893,242.704742,242.704742,234317
